id,都道府県id,低料金順位,全国順位,団体名,水道料金（円）,値上げ率（％）,料金回収率（％）,経常収支比率（％）,財政力指数
357,11,2,47,東松山市,1890,0,117.38,118.95,0.86
358,11,32,293,春日部市,2635,0,107.25,109.76,0.77
359,11,21,162,狭山市,2376,0,114.77,119.9,0.89
360,11,20,158,羽生市,2370,0,108.19,115.76,0.79
361,11,45,488,鴻巣市,3002,0,103.34,109.94,0.73
362,11,22,179,深谷市,2403,0,86.91,94.83,0.76
363,11,41,435,上尾市,2916,0,106.19,112.83,0.9
364,11,23,185,草加市,2430,0,110.26,119.4,0.9
365,11,23,185,蕨市,2430,0,103.14,115.47,0.85
366,11,5,62,戸田市,2019,0,94.54,108.08,1.22
367,11,23,185,入間市,2430,0,117.97,122.94,0.93
368,11,12,125,朝霞市,2268,0,95.03,111.12,0.98
369,11,30,263,志木市,2592,0,93.98,117.92,0.85
370,11,3,54,和光市,1951,0,101.55,114.98,1.01
371,11,18,149,新座市,2322,0,93.39,98.33,0.9
372,11,49,616,久喜市,3326,0,116.05,125.03,0.87
373,11,44,466,八潮市,2970,0,115.36,116.2,0.99
374,11,14,138,富士見市,2289,0,107.51,119.81,0.78
375,11,7,78,三郷市,2106,0,103.81,107.14,0.94
376,11,35,338,蓮田市,2705,0,97.68,105.88,0.77
377,11,34,320,幸手市,2700,0,105.49,112.86,0.71
378,11,27,216,日高市,2484,0,107.44,111.23,0.86
379,11,23,185,吉川市,2430,0,106.73,109.08,0.86
380,11,6,65,ふじみ野市,2051,0,95.31,108.96,0.82
381,11,52,756,白岡市,3628,0,112.26,122.58,0.84
382,11,41,435,伊奈町,2916,0,107.89,110.15,0.87
383,11,9,90,三芳町,2160,0,104.35,111.54,1.03
384,11,17,146,毛呂山町,2311,0,105.95,109.24,0.63
385,11,53,873,越生町,3996,0,103.58,109.17,0.54
386,11,12,125,滑川町,2268,0,105.93,114.4,0.92
387,11,1,42,嵐山町,1863,0,126.27,129.4,0.78
388,11,29,225,小川町,2494,-0.04,107.52,112.13,0.69
389,11,4,59,川島町,1991,0,86.69,90.35,0.75
390,11,27,216,吉見町,2484,0,97.62,98.94,0.66
391,11,19,151,鳩山町,2354,0,106.38,112.72,0.61
392,11,51,698,ときがわ町,3510,0,80.27,107.63,0.48
393,11,16,145,美里町,2307,0,86.65,117.13,0.69
394,11,47,534,神川町,3130,0,110.88,116.86,0.53
395,11,7,78,上里町,2106,0,99.82,108.7,0.78
